Ajay,Smith,1sales@gmail.com,1234567890,House 1 Mummigati,Employee,50000,1
Sara,Scarlet,2sales@gmail.com,2234567890,House 2 Mummigati,Employee,50000,1
Neha,Brown,3sales@gmail.com,3234567890,House 3 Mummigati,Employee,50000,1
Shruti,Bing,4sales@gmail.com,4234567890,House 4 Mummigati,Boss,100000,1
Rajesh,Patel,1worker@gmail.com,1134567890,House 5 Mummigati,Employee,10000,2
Mohan,Sharma,2worker@gmail.com,1334567890,House 6 Mummigati,Employee,10000,2
Ravi,Singh,3worker@gmail.com,1434567890,House 7 Mummigati,Employee,10000,2
Sunil,Kumar,4worker@gmail.com,1534567890,House 8 Mummigati,Employee,10000,2
Vikram,Desai,5worker@gmail.com,1634567890,House 9 Mummigati,Employee,10000,2
Arjun,Mehta,6worker@gmail.com,1734567890,House 10 Mummigati,Employee,10000,2
Sanjay,Reddy,7worker@gmail.com,1834567890,House 11 Mummigati,Employee,10000,2
Prakash,Joshi,8worker@gmail.com,1934567890,House 12 Mummigati,Employee,10000,2
Arjun,Reddy,9worker@gmail.com,1034567890,House 13 Mummigati,Boss,30000,2
Salman,Patel,1materials@gmail.com,1214567890,House 14 Mummigati,Employee,40000,3
Rahul,Sharma,2materials@gmail.com,1224567890,House 15 Mummigati,Employee,40000,3
Ankit,Verma,3materials@gmail.com,1230567890,House 16 Mummigati,Employee,40000,3
Aditya,Gupta,4materials@gmail.com,1244567890,House 17 Mummigati,Boss,80000,3
